Date,Time,Response,Review
17-04-2024,23:25:10,No,"Food is descent enough. Desert options were also good
Starrers were also tasty.
One bad experience ee had is waiting time even though we booked table prior time."
17-04-2024,00:25:10,Yes,"Short review: Decent breads and starters, bad Shaam Savera, a little screwed up daal makhni (but should be a one-off case)
Better ambience at night... And importantly good quantity!
I wanted to give a 2.5 but that's not an option 🙈
Extensive...
Ambience: It's better at night. Friends who had been here during the day didn't like it much. So if you prefer ambience, go at night!
Food! Ordered a Hara Bhara Kebab, Shaam Savera, Daal Makhni, rotis and raita (Yes! I'm a vegetarian 🙈)
The good part! Quantity 😍
I was excited to see Shaam Savera on their menu. But take it from me, you do not want to order it. It is no where close to what it should be. They messed it up real bad, especially the colors.
The daal makhni had big chunks of garlic cloves which spoiled it for me. It wasn't creamy too :(
The breads and raita were decent!
The Hara Bhara Kebabs were decent too, soft! They had an extra outer coating of peanuts. So if you're not a peanut fan on your kebabs, ask them to skip that step 🙈
Conclusion: It looked like they had made food in a hurry.
Would like to give this place another try hoping that mine was one of the odd cases. If things change, you'll know!"
17-04-2024,01:25:10,No,"Excellent food and very good service by soumen das..
Ambience was good too with live music. Food was served timely. Decor of the restaurant was amazing as well."
18-04-2024,02:25:10,Yes,My review for this place would be 5star for the ambeince and the service from the staff which lacks in lot's of place even though the food is good in places like these. Special hey to papiya shuvro!
19-04-2024,03:25:10,No,"It was a very nice experience. Food was amazing. Friendly staff, with welcoming attitude. Papia was very friendly and accommodating. Good ambiance. I will definitely recommend this place."
20-04-2024,04:25:10,Yes,"Had dinner with my friends. Menu is perfect, something for everyone. Service was awesome and Papia was very accommodating. Good ambience with amazing live music. Will be back definitely!"
21-04-2024,05:25:10,No,Service experience was very good especially by Papiya. Food served was very good and tasty and they served it very well. I would like to visit Beyond again and will recommend it to friends for its food and its reasonable price.
22-04-2024,06:25:10,Yes,"Service , Food and Ambiance was very nice. Staff was very humble while taking order and while serving food. Live music was like cherry on the cake"
23-04-2024,07:25:10,No,The food was ❤️.. We ordered banjara tangdi for starter which was the best among all.. Papiya Shuvro was well mannered and her service was best among all.
24-04-2024,08:25:10,Yes,Staff are just polite and responsive. Food is the best part here. And it is better as ambience also awesome here. I met two persons here named Papiya and Shuvro who are the best at their services. Food items i liked here were Basket biryani and Kodi drum sticks. Finally just loved.
25-04-2024,09:25:10,No,"I came here with my parents. We ordered for Thai peneer tikka, kaju pulao and veg biryani. The kaju pulao and veg biryani were really good. This is a decent place to go with family. Shubro and papiya served well."
26-04-2024,10:25:10,Yes,Well we’re new to Hyderabad . And I can for a fact say that it’s probably the best place I’ve eaten a buffet at in Hyderabad period . Especially id like to thank Shurvo and Papiya for their amazing service . Double metha was just too good . Overall a worthwhile experience
27-04-2024,11:25:10,No,"Wonderful place with awesome ambience, best to visit at night to see all the pretty lights and to enjoy some savory foods. Shubro and Papiya were good with service."
28-04-2024,12:25:10,Yes,"Good ambience and great service.We've had buffet for 25 people.The waiters were patient and we even got noodles replaced since the one served in the buffet went bad.
Shoutout to Shubro and Pradeep ,took care of our entire Afternoon."
29-04-2024,13:25:10,No,"My review of the place comes after multiple visits, that have spanned over 4 months. And now I can safely say that it's one of the good places around.
They're located near the Biodiversity signal, above Fabindia. There's ample parking for both two and four wheelers. The ambience is a bit dim after dark, and the seating is divided into various options, including a PDR section.
The menu design is in the shape of a bottle, and the array spans Continental, Chinese and Indian cuisines. Here's the list of things that I have tried, across all my visits

Panko Crumbed Mozzarella Sticks ❤️ - Cheese sticks that are coated and fried. Pure cheese bliss.
Veg Lasagna ❤️ - This place has one of the good Lasagne in the town.
Crispy Chilli Corn Kernels - The usual favourite, this one has a slightly different presentation here.
Makhmali Paneer Tikka -
Cottage Cheese Shashlik Sizzler
Italian Nachos - Nachos topped with red sauce and cheese, and baked in the dish.
Cheese and Cheese Pizza ❤️ - Soft base pizza, loaded with cheese, and a few pieces of green olives.

I cannot stress enough on how I have loved all that I tried here. I have also tried out their lunch buffet. The variety may not be as elaborate as other places, but with the food quality and the discount that they offer for bulk bookings, it is at least a one-time try. But what I really adore here is their mocktails. Beyond Delight is an absolute delight! Also a fan of the Guava and Chilli, and Apple and Kiwi Night drinks.

The staff is ever so courteous. A special mention to Papiya and Shuvro, who were our attendants on the latest visit. The place has Zomato Gold 1+1, which further brings down their reasonable rates. A meal for two would roughly be around 700, that fills not only your tummy, but also you heart!"
30-04-2024,14:25:10,Yes,Had lunch today at beyond flavors .The food was very Good and delicious and awesome service was provided by Soumen Das & Shuvro. Would highly recommend the restaurant .
01-05-2024,15:25:10,No,The reason for giving only a 3 star is because of the longlong time wait for the tables. We went on Friday afternoon. We waited almost more than 30mins to get a table. We lost our patience and left for another restaurant as v didn't get a table even aftr waiting for such a long time.I think restaurant management should take this into consideration and try to decrease the waiting time of customer.
02-05-2024,16:25:10,Yes,"Service is really exceptional. Cheers to Manav, who served us really well. Food was nice too. Loved the ambience too, with nice music playing in the background."
03-05-2024,17:25:10,No,"Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!
Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!
Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!"
04-05-2024,18:25:10,Yes,Papiya Shuvro was great. She helped us get the tables quickly and suggested us the best sizzlers in the menu. Ambience was awesome. She suggested the best table and was very helpful till we were there. Will visit again for the awesome service. You guys should try as well if u plan to take your loved one n give an osm experience then this is the place.
05-05-2024,19:25:10,No,"Quite good ambience,liked special restro biryani,must try,like the service Papiya and shuvro,they were really good at der service.will like to visit again.Its nice place to visit specially at nyt tym.food was yum.Should try biryani."
06-05-2024,20:25:10,Yes,Pradeep and shubroto were amazing and friendly. Service was awesome n food out of the world.must visit for all people out there. Will visit again
07-05-2024,21:25:10,No,We visited this place for a colleagues farewell. We had a really great time.Good food and service by Pradeep and Shobro. Will come again later
08-05-2024,22:25:10,Yes,"The restaurant has an amazing ambience. Staff is polite and suggest good recommendations on food. If you visit Beyond Flavours sometime, do reach out to Papiya and Shuvro as she can suggest some really good dishes."
09-05-2024,23:25:10,No,Excellent food and service. Special mention for Papiya Shuvro. Surprised to see such good quality food being served at such low prices. Ambience is quite good too. Highly recommended.
10-05-2024,00:25:10,Yes,Papiya and Shuvro as the f&b executives were really courteous and friendly. Thoroughly enjoyed our experience here. Good place for a cute Lil date hehe and for a nice family dinner.
11-05-2024,01:25:10,No,"This was the first time we visited this restaurant and the experience was good in terms of food, hospitality, service and ambience. Thanks to shubro and papiya for their hospitality"
12-05-2024,02:25:10,Yes,"We went for lunch buffet yesterday and took a chance after seeing some good and some average reviews in Zomato.

The spread in buffet is too less, just 3 veg and 3 non veg starters, 2 main course in veg and non veg, just one fried rice and chicken Biryani.
Desserts are ice cream and jamun.

The taste was ok and not to expect too much. Little disappointing when starters are not hot.

Fish fry was decent, Schezwan chicken was ok.
Veg spring rolls were too good.
Big surprise for me is Onion rings as starters 🤣😂

Kadai ghost in main course was good but missing that masala flavour.
Chicken was ok. Biryani is average, egg fried rice was good.

For the money we pay, we expect some good food. They use much of colour in food item's.

Suggestion to management is use less coating and less food colouring in starters.

Overall experience is ok, but they can be much better for the amount you pay."
13-05-2024,03:25:10,No,The place is just beyond beautiful. Ambience is excellent and food is good. The service by Soumen Das is extremely good. Highly recommended place.
14-05-2024,04:25:10,Yes,"I have been to beyond a few times and have tried out a lot of their dishes, it never disappoints.
I would specially recommend their soups, the healthy broth soup and the roasted chicken soup are amazing.
In addition the service is great and our server Papiya was very courteous and prompt. This place has become my go to place for a good dining experience."
15-05-2024,05:25:10,No,If you have time to waste for taste u r most welcome ... the taste was really superb but the service was very very slow..! Dishes were impressively having different flavours which i liked..!
16-05-2024,06:25:10,Yes,The food here is good and would add on if you could increase your spread.Ananya was courteous and good at serving..!!Ambience was also good and was peaceful...........................!!!!!!!!!!♥️♥️♥️♥️♥️♥️♥️♥️♥️
17-05-2024,07:25:10,No,"Pardeep and shubrat has served great food and great ambience. Must try !!!

The food is awesome and ambience is too good. A great place to go with a team"
18-05-2024,08:25:10,Yes,"One of the best restaurants in Hyderabad near Gachibowli.. ambiance was good.. Lunch spread was good and was very tasty.
Thank Papiya for her guidance."
19-05-2024,09:25:10,No,I really liked the food here it was different from what we get in every other restaurant ..really appreciate the service by Papiya..loved the presentation of the food..
20-05-2024,10:25:10,Yes,Had a good food and good time at this place.. Ambience was really good and had a nice time... Thanks @shubro for assistance and guidance for having food..
21-05-2024,11:25:10,No,"Best place to hangout...😊
Food is really great...
Thanks Papiya for the service...😊
Staff was reallly co-operative...
Ambience is really great, especially PDR(Private Dining Room) is awesome...😍👌🏻"
22-05-2024,12:25:10,Yes,"we went for a team lunch, such a worst restaurant.. food was tasteless, service was very slow and Ac was not working. We’ve requested them multiple times but its of no use. Please don’t waste your money and I strictly recommend not to prefer beyond flavours,"
23-05-2024,13:25:10,No,"Discovered this place while returning from an despicable day at the office. Walked in, and ordered some food thinking it'd be the same takeout food one could get at any outlet.
But. But, the food turned out to be a saviour. And the way they've designed this place is indeed remarkable. The lights, and the mixed setup would give you a retro feel. Good for a normal group of people who would want to sit and a have a great conversation over food."
24-05-2024,14:25:10,Yes,"Second time being here it's really beyond imagination beyond taste and beyond flavours as well. Very courteous staff and very hospitile.
Taste is good but the best part is presentation,,, it's really meeting the standard of a 5 star restaurant .
Very impressed with Mr Ahmed , Pradeep and Mr Dipanajan who are very friendly and took care of us very well. Good job guys keep it up."
25-05-2024,15:25:10,No,"We ordered Vegetable Lasagne and sizzler chicken tikka, both of which were absolutely delicious. The ambience is amazing and the service is good."
26-05-2024,16:25:10,Yes,One of the best food experiences I had in hyderabad. The desserts was yum. Appricot pudding is must have. @Ahmed Khan your service was unparalled. Keep up the good work.
27-05-2024,17:25:10,No,"Ahmed was a great help in beyond flavour... He may suggest great food as he has good experience. The staters and sizzler was too good. The sauce that was use in the chicken dish was awsome. Nan was very soft even if you take without butter you can easily eat.
Great experience in beyond flavors."
28-05-2024,18:25:10,Yes,Had dinner at this place and the attendant was Papiya. The staff is very friendly and the ambiance is awesome. Good variety of food and beverages.
29-05-2024,19:25:10,No,"We happened to go to this place on last sunday and it was mothers day and they had flat 50 on the buffet meal for the mother which i really liked..Needless to say the Ambience and music was really good .We had a reservation but had to wait fir 10 mins to get a seat..They served us mango juice as wrlcome drink which tasted really good.The buffet spread was one of a kind:
Strters : Veg : paneer tikka, veg spring roll and veg cutlet.They were lil cold but the taste wad good
Non veg : chicken kebab , chicken manchurian and fish .Fish was very tasty though it coupd taste better if it was hot.Chicken was fair enuf.
Singapore Noodles,Egg salad and pasta : They were good but it was cold.
Main course: mutton rogan josh, chicken tikka masala,palak paneer All were equally good
Biriyani: Egg frued rice and chicken biriyani were really great.
Desserts : moong dal halwa tasted really yumm, ice cream,gulab jamun,cut fruits,banana cake

The staff were too slow in service and the food was refilles very slow.We had to wait for quite long time to actually eat to stomach full.

They could improve the above points to stand better!
Overall :3.2"
30-05-2024,20:25:10,Yes,"Good Ambience with an absolutely delicious food.
I’ve got best company here by ANANYA (Beyond Flavours)
The place is quite and has peaceful music with fun loving staff.
Great place for friends."
31-05-2024,21:25:10,No,"I have been at this place for dinner a few days back. The ambience was good. The restaurant was almost half occupied. We immediately got a table. But then waited for 10 mins to get water and menu, that too after a few reminders. We ordered a few starters, main course items and mock drinks. Only the starters could be served in 30 mins. There was no sign of mock drinks! We noticed similar service issues on other tables. Noticed guests literally shouting on the staff.

The food was just average. Dishes were not prepared well, at least when compared to 4.1 rating on Zomato.

We finally decided to just have starters, and hop onto another restaurant for rest of the meal!"
01-06-2024,22:25:10,Yes,"I have been to this place twice and had 2 different experiences.
1st time it was with colleagues and I loved the food and ambience and service and everything except the prices as it was too costly. Their special baked biriyani is work a try, it's unique and tasty.
Because of the good experience I revisited this place with my sister. She orders a mocktail and it was terrible.they replace it but it was still not good. And then I asked them about a starter, if it was with bone or boneless and they told me it was boneless, later on the arrival they told me that it comes with both. It's disappointing to know that the staff doesn't know about the menu."
02-06-2024,23:25:10,No,"It's one of the best places to hangout with friends. Seemed like a quiet common place for group lunches etc.
Food was very good and the ambience was also very nice.
Loved everything.❤"
03-06-2024,00:25:10,Yes,Ambience is good and staff are polite and friendly. Food is super good and had nice time having lunch .... keep up the good work. Thank you for your nice hospitality. Loved it 💕 💕 💕
04-06-2024,01:25:10,No,"I would like to introduce this restaurant to a new ingredient called salt. If you add that yo your food, it would taste way better. So basically none of the food we ordered had salt. We ordered Fries, panko mozzarella sticks, Tomato cream soup, panner65 & ""Italian"" Nachos. Not sure how that was nachos or italian. They basically bought a pack of dorittos and added mozarella cheese on top. The beans were not baked at all, and the entire dish was cold except for the plate that it was brought in. Pretty sure they just dumped the items and stashed it inside a microwave. The paneer 65 was horrendous. Might as well called it garlic 65 with no salt. Next was the mozarella sticks, which was again cold and no salt. The only decent item that we got was the fries and the soup. Thanks to gid we didnt order any main course. All these came up to 1300 and odd. Thanks to Zomato Gold, our price went down. This place is way too expensive for the quality of food they serve. And talking about the restaurant in general, the place looks decent but there are stoves stashed under tables and seats and plants kept at inconvenient spots. They really need to clean up more."
05-06-2024,02:25:10,Yes,"Hostile staff, okeish food, not so great ambiance. Not sure how the rating on zomato stands at 4.1
Starters we're decent but main course was horrible.
Will not suggest this place."
06-06-2024,03:25:10,No,"Thanks Ahmed Food is great will recommend to visit again and again. Service is excellent and ambience is good , we had a great time with my family"
07-06-2024,04:25:10,Yes,"This is the place where the flavor of food and service are like beyond good ,beyond expectations and really really quality and worth of money.i am personally highly recommend this place.great flavour of food and very much prompt service.ambience is also enhance the flavor of this restaurant."
08-06-2024,05:25:10,No,Food quality and taste is not good. Super slow service. Nice ambience but very poor in customer handling. Lot of items not available even if in the menu.
09-06-2024,06:25:10,Yes,"This was my worst experience at a restaurant ever. First our starters were served after half an hour of ordering and the chicken popcorn had a hair strand in it yuck! Then the guy who took our main course order forgot about it completely so we had to order again after waiting for almost an hour. Then had to wait for another half hour to get our food. And the worst of all, they got us chicken lasagna instead of veg lasagna. We figured out that it was chicken right before one of my staunch vegetarian friend almost ate it. I do not recommend this place at all. There are so many better places in Gachibowli that could save your time and provide better service."
10-06-2024,07:25:10,No,This is the place I really recommend this restaurant to the food lover specifically the continental food lover.pasta and sizzlers are so yummy that I cant stop myself to choose only this restaurant rather than other.service is the part were you really satisfied.
11-06-2024,08:25:10,Yes,"I'm very much impressed by the quality of food and service. Specially Mr Ahmed, thank you for your politeness and readiness. About food i can only say that it is beyond flavours. Loved this place. Must visit, great ambience."
12-06-2024,09:25:10,No,The food was indeed beyond falvours. Ahmed served us well. Hoping to meet next time soon. A great ambience and amazing songs on the background added innumerous flavours to the delicious food.
13-06-2024,10:25:10,Yes,Starters are very good and service is also good. Ahmed is very polite and helped us selecting menu.l which tuned out be great. Would like to come back again.
14-06-2024,11:25:10,No,"Had a very bad experience here
beyond flavours really puts you beyond all the flavours
had gone here for dinner and the next day had to get hospitalised because of food infection
I guess the food was not served fresh"
15-06-2024,12:25:10,Yes,Lovely ambience..Roasted chicken soup was the Highlight of our dinner..Basket biryani was full of flavours and yumm.lasagne was great.Nice to go with whole family.Appetisers quantity is less though.
16-06-2024,13:25:10,No,I liked the food and ambience but the problem is with the staff.. they are not so responsive.. we’ve ordered one item but we got something else.. otherwise place and the food are good..
17-06-2024,14:25:10,Yes,It’s a worst service experience. Food was OK. They took 45mins to get veg pulav. Never seen a restaurant to take such time. Won’t visit again.
18-06-2024,15:25:10,No,Waiters are not good enough and you will get items which you have not ordered. Overall a bad experience. Waiting time is more than expected...
19-06-2024,16:25:10,Yes,"Awesome food, very good ambience, centrally located, ample parking....coordination between serving boys / service has scope for improvement, boys very courteous though. Not sure why the bar was closed on a Saturday evening....Overall good experience & extremely value for money....will visit again!"
20-06-2024,17:25:10,No,Was there for office lunch outing. Rating would be mixed because food was fine but service was very bad. Booked table a day before but still had to wait for 30-40 mins to get one. Manager was polite but gave some rubbish reasons for bad service. Ambiance is fine.
21-06-2024,18:25:10,Yes,"I really enjoyed the follows....
The entrance, the music, lighting, seating arrangement, decorations everything is just awsome. The food and the best service enhance the flavour of the restaurant. I realy recommend this restaurant..."
22-06-2024,19:25:10,No,"I came first time in this restaurant.
The entrance, the music, lighting, seating arrangement, decorations everything is just awsome. The food and the best service enhance the flavour of the restaurant."
23-06-2024,20:25:10,Yes,"Pathetic and horrible experience
Ambience and hospitality 1
Food 1
chairs and tables were broken food is cold and tasteless
Buffet arrangement is not good could be a bit more spacious"
24-06-2024,21:25:10,No,Ahmed was serving us. Polite and very cooperative staff..Amazing food and Ambience..Veg gilaffi Kabab and Lasgna was a must try..Loved overall experience....
25-06-2024,22:25:10,Yes,Paradise Biryani is really good service also good staff friendly ambiance nice I had chicken Biryani and mutton Biryani both are good thank you
26-06-2024,23:25:10,No,"Chiken biryani is very good and
Spcal chiken cary is very good and testy food
And
So enjoy the food and
Next time visiting again with my family and friends"
27-06-2024,00:25:10,Yes,"Very good hospitality,good ambiance and very good food ,v good facility of packing biriyani to long distances good place to visit mainly for Hyderabad biriyani"
28-06-2024,01:25:10,No,"Good Food and Tasty, better to have music while having food, better have quick response...and everything other than these are good. And good environment"
29-06-2024,02:25:10,Yes,Goodtaste...ever.... paradise makes magic.chefs will gladly prepare it the way u prefer. They are nice to serve everyone...this is the world best biryani.
30-06-2024,03:25:10,No,Food quality is good..but some.takes more time when the food arrives.but food taste was too good..staff was good..perfect for family for lunch or dinner...enjoy
01-07-2024,04:25:10,Yes,"Tasty food with good service , enjoyed a lot at paradise, quick response from the providers , fast delivery,tasty food ,good place ,good for economic people"
02-07-2024,05:25:10,No,Ordered one chicken and one mutton biryani and it was very good. Paradise is definitly a great restaurant for biryani. Restaurant ambinence is good along with quick service.
03-07-2024,06:25:10,Yes,"Always the best , my all time favorite food, biryani ka baap , every time I visit I feel something special, I almost visited 20 times , simply the best"
04-07-2024,07:25:10,No,Good taste and love to visit again ...... With my family and friends... Hopefully enjoyed the taste of biryani.... And make this happens every time
05-07-2024,08:25:10,Yes,"As usual the food is always good - world famous biryani.
I love to eat Paradise Biryani where ever i am.
Service n Ambiance are also very good."
06-07-2024,09:25:10,No,"We ordered tandoori chicken as starters that's very tasty and light and then butter naan with mutton masala and as main course we ordered chicken biryani, egg and mutton biryani those are very very tasty and light mutton piecs cooked with perfection"
07-07-2024,10:25:10,Yes,"Very fri approach and services, especially by Shri Krishan. Very excellent service rendered. Dishes are very tasty. Like to visit again and will recommend to friends."
08-07-2024,11:25:10,No,"Order: drumsticks and chicken biryani

Just awesome taste and good service

5* rating

Good response from service boys and good serving

Good seating"
09-07-2024,12:25:10,Yes,The food and the hospitality of the staff is amazing and the service was very fast ambience of the place is really good i really recommened everyone to try kadai chicken
10-07-2024,13:25:10,No,Service was good and food also good ambiance good I had chicken biriyani and egg biriyani both are really good nice service with good food overall good
11-07-2024,14:25:10,Yes,"I ordered Chicken biryani and egg biriyani. Food is awesome, very nice place and great ambitious. Will definitely come again next time and service is too good...."
12-07-2024,15:25:10,No,"Friendly. Nice service chicken biryani is delicious
Curry bowl design nice... Nice temp nice as cooling nice tooth pics nice spot for selfie nice restaurant settings"
13-07-2024,16:25:10,Yes,Very nice and humble staff. Very tasty biryani. Many people told me that try another place but paradise is truly paradise for biryani lovers.
14-07-2024,17:25:10,No,Nice restaurant with friendly and courteous staff and variety of options to choose from. The curry and raita are really good. There are some good options for veggies also that they can try.
15-07-2024,18:25:10,Yes,Food is good and the staff is very humble. Had a great time with my people 😍good service good food nise ambiance no 1 biriyani in hybd not hybd in india
16-07-2024,19:25:10,No,"Haleem is good.
Egg biryani is also tasty when compared to other places and
Service is very good and
So I am happy
Next time visiting again soon with my friends"
17-07-2024,20:25:10,Yes,"Haleem is very good a d
Chiken biryani is very good and
Nice place in paradise gachibowli so I am happy 😊
Next time visiting again with my friends"
18-07-2024,21:25:10,No,"I have ordered 2 special chicken biryani's and received two ordinary biryani's with bones! This is a big time disappointment. This place was known for its Biryani and now I feel like I have had a worst biryani.

It costed 400 bucks each and receiving the same 200 bucks biryani has been my worst experience."
19-07-2024,22:25:10,Yes,"Very nice taste and good maintenance.
Nizam chicken biryani too good.
Pepper chicken very tasty
Service is very fast and good receiving
Please visit for tasty food"
20-07-2024,23:25:10,No,"The parans is very good and
Ege biryani is very good and
Service is very good and
Next time visit again with my friends and family lastly thank you"
21-07-2024,00:25:10,Yes,"Very nice place to eat, great food and great service.
Value for money. Great ambience.
Highly recommended.
Prices a bit high.
But definitely worth it"
22-07-2024,01:25:10,No,Good food and good service. Good options for vegetarians also. Desserts are very tasty. Ambience is also neat and the place looks very hygienic
23-07-2024,02:25:10,Yes,"Ege biriyani is very good and
Service is very good and
Nice place in paradise gachibowli
So I am happy next time visit again with my friends and family"
24-07-2024,03:25:10,No,The food was especially haleem. People who hate mutton smell but wanted to taste haleem can go try this restaurant. Service and ambience was cool.
25-07-2024,04:25:10,Yes,"Chicken biriyani is very good and service is very good and
Nice place so I am happy and enjoy the food
And
Next time visit again with my family and friends"
26-07-2024,05:25:10,No,"The chicken biriyani is very good and
Nice place in paradise gachibowli
And service is very good
So nice and enjoy the food. Next time visit again soon with my friends"
27-07-2024,06:25:10,Yes,"Awesome biryani and kebabs. Apollo fish is the best one here.
Clean and hygienic food.
Courteous staff and prompt service response.
Keep up the good work."
28-07-2024,07:25:10,No,Nice staff food is good and tasty....ambience is good..service is good and staff is very polite with customers......overall food is great woowwwwwww
29-07-2024,08:25:10,Yes,"It's very nice place to enjoy the food. Servive is very good and food is delicious. Decent ambience, good place to enjoy the nizamis food in hyderabad."
30-07-2024,09:25:10,No,Awesome service by Rajesh and team very tasty food and brevage keep rocking guys now it become my favourite place .Love to come back again...
31-07-2024,10:25:10,Yes,"It's a really delicious though not much spicy, good to grab on the go and must try if ur looking for some good non veg stuff and also you can get to experience good ambience"
01-08-2024,11:25:10,No,"Very bad dine in experience I had with this restaurant. We booked this place for office lunch with some instructions, but none of them met by the restaurant. Overall very bad experience"
02-08-2024,12:25:10,Yes,As always the best food and service :) and chicken 65 is very good and chicken Biryani is very good and nice place soo enjoy the food lastly so thank you
03-08-2024,13:25:10,No,Very good service and excellent food chicken biryani mutton biryani both are good ambience also very nice good staff overall good food good service happy time
04-08-2024,14:25:10,Yes,"Taste: there was huge hype about biryani hence I tried it, didn't find the taste up-to par, not really happy with the food taste.
Ambience: the place was well versed but not calming enough to keep you concentrated on food. The AC wasn't working properly which led to uneasy food experience.
Service: it was alright. Don't have much to talk about it!"
05-08-2024,15:25:10,No,"Mutton biryani was very good.
And
Service was very good and
Nice place in paradise gachibowli
And
Next time visiting again with my family and friends"
